April 14, 2022 1 "“...filter air pollution reduce...”" "air pollution"
July 18, 2019 1 "“...Air pollution in Milan....”" "air pollution"
"May  2, 2019" 1 "“...a decrease in air pollution....”" "air pollution"
April 18, 2019 1 "“...and air pollution. But the 2...”" "air pollution"
"March  3, 2016" 1 "“...air pollution....”" "air pollution"
"March  3, 2022" 1 "“...AND AIR QUALITY IMPROVEMENTS THAT WE PLANNED IN IN THE POLICE AND FIRE DEPARTMENTS....”" "air quality"
June 10, 2021 1 "“...ON THOSE AIR QUALITY IMPROVEMENTS, BUT THAT IS SOMETHING THAT WE COULD CERTAINLY...”" "air quality"
October 15, 2020 1 "“...hygiene interior air quality....”" "air quality"
September 10, 2020 1 "“...garage and air quality in the...”" "air quality"
"September  5, 2019" 1 "“...air quality in the Muslim...”" "air quality"
"December  6, 2018" 1 "“...>> water and air quality, gun...”" "air quality"
"November  2, 2017" 1 "“...improvement to air quality at...”" "air quality"
"May  4, 2017" 1 "“...So, BYt(Improving air quality, we...”" "air quality"
"March  6, 2014" 1 "“...Help maintain clean air and...”" "clean air"
July 14, 2022 1 "“...this. Clean air....”" "clean air"
July 15, 2021 1 "“...plain dealer clean air safety....”" "clean air"
"October  1, 2020" 1 "“...clean air on data from today is...”" "clean air"
"August  6, 2020" 1 "“...trees for shade clean air and...”" "clean air"
"May  2, 2019" 1 "“...my right to breathe clean air...”" "clean air"
"February  1, 2018" 1 "“...to use the Clean Air Act to cut...”" "clean air"
"December  7, 2017" 1 "“...environment from air pollutants...”" "air pollutants"
September 17, 2015 1 "“...GREENHOUSE GAS...”" "greenhouse gas"
"October  8, 2020" 1 "“...greenhouse, gas emissions,...”" "greenhouse gas"
"July  9, 2021" 1 "“...The greenhouse gas inventory is...”" "greenhouse gas"
"April  8, 2021" 1 "“...greenhouse gas emissions by...”" "greenhouse gas"
"September  3, 2020" 1 "“...greenhouse gas emissions so...”" "greenhouse gas"
"February  6, 2020" 1 "“...air and lower greenhouse gas...”" "greenhouse gas"
October 17, 2019 1 "“...reducing greenhouse gas...”" "greenhouse gas"
"May  2, 2019" 1 "“...reduce greenhouse gas...”" "greenhouse gas"
"October  4, 2018" 1 "“...greenhouse gas emissions....”" "greenhouse gas"
"May  3, 2018" 1 "“...quality and greenhouse gas...”" "greenhouse gas"
May 11, 2017 1 "“...The greenhouse gas inventory and...”" "greenhouse gas"
